CountryName,Province,Status,CityName,Latitude,Longitude
Mexico,Sinaloa,Other,Mazatlan,23.3615070449679,-106.270001550742
Mexico,Zacatecas,Provincial capital,Zacatecas,22.7639970169892,-102.554999642053
United States,Texas,Other,Dallas,32.7637260821559,-96.6636895308501
United States,Texas,Provincial capital,Austin,30.2799960727117,-97.7329976083196
United States,Texas,Other,San Antonio,29.4299190921231,-98.5245746260256
Mexico,Nuevo Leon,Provincial capital,Monterrey,25.6770000780832,-100.316996483649
Mexico,Coahuila,Provincial capital,Saltillo,25.4179981279013,-100.994003537641
Mexico,Tamaulipas,Provincial capital,Ciudad Victoria,23.739003072874,-99.1389955946223
Mexico,Aguascalientes,Provincial capital,Aguascalientes,21.8879999998916,-102.290003542767
Mexico,Nayarit,Provincial capital,Tepic,21.508002024542,-104.896997530928
Mexico,Guanajuato,Provincial capital,Guanajuato,21.0200041177168,-101.264003531814
Mexico,Jalisco,Provincial capital,Guadalajara,20.6739991337068,-103.34400256144
Mexico,Colima,Provincial capital,Colima,19.2510000181918,-103.73499858078
Mexico,Tamaulipas,Other,Tampico,22.243239137569,-97.8426265609365
Mexico,Campeche,Provincial capital,Campeche,19.8549989914154,-90.5259955984803
Mexico,Veracruz,Provincial capital,Jalapa,19.5329970812061,-96.9029995875209
Mexico,Tlaxcala,Provincial capital,Tlaxcala,19.3100040443004,-98.2369976195065
Mexico,Puebla,Other,Puebla,19.0486350158573,-98.1929425597524
Mexico,Tabasco,Provincial capital,Villahermosa,17.9759970761971,-92.9369965326049
Mexico,Oaxaca,Provincial capital,Oaxaca,17.0620020322398,-96.7139995419549
Mexico,Chiapas,Provincial capital,Tuxtla Gutierrez,16.7439960559494,-93.1089956144423
Mexico,Veracruz,Other,Veracruz,19.1850031490961,-96.1229964969398
Mexico,San Luis Potosi,Provincial capital,San Luis Potosi,22.1519970743266,-100.979999648464
Mexico,Queretaro,Provincial capital,Queretaro,20.5830000004762,-100.386998553748
Mexico,Hidalgo,Provincial capital,Pachuca,20.1200040268186,-98.7550015198702
Mexico,Michoacan,Provincial capital,Morelia,19.697004129722,-101.185001632908
Mexico,Distrito Federal,National and provincial capital,Mexico City,19.4270491471046,-99.1275745743985
Mexico,Mexico,Provincial capital,Toluca,19.2830040614315,-99.6667016364416
