Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
AVB;AvalonBay Communities, Inc.;Financial;180.17;2981;1;1;24.83;0.7403;1.86;33.12;71.98;2.93;0.057;0.1;0.034;2.4
AVGO;Avago Technologies;Technology;150.33;8200;1;1;58.61;1.43;6.96;29.48;18.49;5.52;0.133;0.306;0.18;1.8
AVY;Avery Dennison Corp;Consumer Goods;73.52;25000;1;1;6.6;0.2737;5.97;24.7;10.65;1.75;0.064;0.264;0.136;2.2
AWK;American Water Works Company Inc;Utilities;69.24;6700;1;1;12.41;0.476;3.16;26.78;28.46;0.26;0.033;0.11;0.066;2.3
AXP;American Express Co;Financial;65.93;54800;1;1;62.66;4.94;34.59;13.14;21.85;26.21;0.031;0.233;0.04;2.8
AZO;AutoZone Inc;Services;771.07;46980;1;1;22.99;1.2;10.43;20.31;-57.72;7.01;0.146;-0.698;0.442;2.2
BA;Boeing Company;Industrial Goods;131.05;161400;1;1;84.92;5.17;96.11;17.57;9.42;18.56;0.053;0.759;0.335;2.5
BAC;Bank of America Corp;Financial;15.11;213000;1;1;154.68;13.58;49.53;12.33;23.06;61.69;0.006;0.058;0.044;1.8
BAX;Baxter International Inc.;Healthcare;43.32;50000;1;1;23.83;0.393;9.97;61.11;16.14;13.48;0.058;0.175;0.034;2.8
BBBY;Bed Bath & Beyond;Services;49.14;60000;1;1;7.83;0.8415;12.1;9.39;16.28;3.71;0.127;0.329;0.229;3.2
BBT;BB&T Corporation;Financial;35.83;37200;1;1;28.25;1.98;6.56;13.87;32.19;3.49;0.01;0.081;0.09;2.3
BBY;Best Buy Co. Inc.;Services;33.22;125000;1;1;10.39;0.807;39.53;13.93;12.9;10.26;0.064;0.194;0.143;2.6
BCR;Bard (C.R.) Inc.;Healthcare;207.23;14900;1;1;15.14;0.1335;3.42;80.61;19.72;12.99;0.055;0.172;0.064;2.6
BDX;Becton Dickinson;Healthcare;159.88;49517;1;1;33.93;0.689;11.22;49.08;34.12;7.53;0.026;0.096;0.052;2.1
BEN;Franklin Resources;Financial;40.67;9400;1;1;23.72;1.91;7.64;12.82;19.71;14;0.15;0.208;;3.1
BF-B;Brown-Forman Corporation;Consumer Goods;93.25;4200;1;1;19.54;0.687;3.1;28.26;7.04;1.53;0.16;0.427;0.23;
BHI;Baker Hughes Inc;Basic Materials;46.43;43000;1;1;19.83;-1.967;15.74;;37.21;5.28;-0.077;-0.114;-0.086;2.1
BIIB;BIOGEN IDEC Inc.;Healthcare;282.7;7350;1;1;62.35;3.55;10.76;18.57;47.18;16.38;0.19;0.345;0.235;2.1
BK;The Bank of New York Mellon Corp.;Financial;41.06;51200;1;1;44.28;3.01;3.33;14.96;32.59;154.85;0.01;0.106;0.032;2.4
BLK;BlackRock;Financial;365.47;13000;1;1;59.84;3.18;11.3;19.27;172.12;;;;;2.1
BLL;Ball Corp;Consumer Goods;75.84;15200;1;1;10.47;0.2809;8;37.48;9.14;1.6;0.034;0.257;0.087;2
BMY;Bristol-Myers Squibb;Healthcare;70.68;25000;1;1;117.95;1.57;16.56;75.78;8.54;2.56;0.049;0.104;0.039;2.4
BRK-B;Berkshire Hathaway;Financial;146.11;;1;1;341.38;;199.94;;0;;;;;
BSX;Boston Scientific;Healthcare;19.76;25000;1;1;26.5;-0.239;7.48;;4.7;0.24;-0.014;-0.037;0.007;1.9
BWA;BorgWarner;Consumer Goods;38.48;30000;1;1;8.41;0.6097;8.02;14.24;16.03;2.64;0.077;0.169;0.108;2.3
BXLT;Baxalta;Healthcare;41.38;17000;1;1;27.94;0.928;6.15;30.31;5.8;;0.083;0.212;0.101;2
BXP;Boston Properties;Financial;129.4;765;1;1;19.97;0.5726;2.49;34.92;37.17;4.71;0.039;0.129;;2
C;Citigroup Inc.;Financial;46.97;231000;1;1;137.41;14.97;58.12;9.32;71.28;223.29;0.008;0.072;0.083;1.9
CA;CA, Inc.;Technology;30.18;11600;1;1;12.73;0.736;4.04;17.78;12.45;5.58;0.069;0.135;0.124;2.9
CAG;ConAgra Foods Inc.;Consumer Goods;44.58;32900;1;1;19.39;0.7126;12.92;27.12;8.39;1.16;-0.038;-0.158;-0.024;2.4
CAH;Cardinal Health Inc.;Services;86.91;34500;1;1;28.41;1.37;112.42;21;20.4;7.06;0.045;0.212;0.115;2
