Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
GILD;Gilead Sciences;Healthcare;101.93;8000;1;1;138.31;18.11;32.64;8.58;12.92;10.8;0.402;1.043;0.458;2
GIS;General Mills;Consumer Goods;60.56;42000;1;1;36.39;1.5;16.93;24.87;8.21;1.31;0.069;0.307;0.105;2.8
GLW;Corning Inc.;Technology;20.99;35700;1;1;24.18;1.24;9.11;21.31;14.3;3.99;0.043;0.069;0.056;2.7
GM;General Motors;Consumer Goods;32.18;215000;1;1;50.08;9.69;152.36;5.32;26.48;13.67;0.055;0.284;0.07;2.4
GME;GameStop Corp.;Services;32.8;20000;1;1;3.36;0.4028;9.36;8.63;19.97;4.4;0.095;0.2;0.175;2.4
GOOG;Alphabet Inc Class C;Technology;718.77;61814;1;1;492.4;;74.99;30.65;175.07;;;;;1.7
GOOGL;Alphabet Inc Class A;Technology;737.77;61814;1;1;532.87;15.83;74.99;32.53;179.76;104.83;0.114;0.14;0.128;1.7
GPC;Genuine Parts;Services;96.78;39000;1;1;14.4;0.7057;15.28;20.93;21.6;1.38;;;0.185;2.8
GPS;Gap (The);Services;23.96;141000;1;1;9.26;0.92;15.8;10.52;6.42;3.46;0.122;0.344;0.228;3.1
GRMN;Garmin Ltd.;Technology;42.71;11651;1;1;8.66;0.4562;2.82;17.61;17.67;5.09;0.102;0.138;0.131;2.8
GS;Goldman Sachs Group;Financial;166.75;36800;1;1;68.54;4.02;35.41;18.68;171.05;;0.005;NA;0.011;2.3
GT;Goodyear Tire & Rubber;Consumer Goods;32.38;66000;1;1;8.67;0.307;16.44;29.42;14.57;5.49;0.018;0.078;0.08;2
GWW;Grainger (W.W.) Inc.;Services;229.13;24400;1;1;13.98;0.7614;9.97;19.62;36.52;4.76;0.171;0.36;0.196;2.9
HAL;Halliburton Co.;Basic Materials;40.84;65000;1;1;33.95;-0.666;23.63;;18.06;11.89;-0.021;-0.043;0.004;1.9
HAR;Harman Intl Industries;Consumer Goods;88.27;24197;1;1;6.27;0.3435;6.55;18.31;33.93;;0.062;0.147;0.106;2
HAS;Hasbro Inc.;Consumer Goods;87.43;5000;1;1;10.82;0.4739;4.57;23.34;12.83;8.84;0.106;0.304;0.158;2.7
HBAN;Huntington Bancshares;Financial;10.25;12243;1;1;8.08;0.6665;2.17;12.41;8.02;1.17;0.009;0.107;0.123;2.5
HBI;Hanesbrands Inc;Consumer Goods;28.55;65300;1;1;10.7;0.4289;5.73;26;2.46;0.86;0.079;0.37;0.141;1.8
HCA;HCA Holdings;Healthcare;80.91;174000;1;1;31.44;2.13;39.68;16.05;-18.75;1.89;0.067;-0.285;0.189;2
HCN;Welltower Inc.;Financial;68.27;476;1;1;24.1;0.538;3.86;44.97;38.41;1.04;0.03;0.06;0.04;2.6
HCP;HCP Inc.;Financial;33.76;187;1;1;15.54;-0.5606;2.54;;20.09;0.76;-0.026;-0.056;-0.005;3.5
HD;Home Depot;Services;135.66;385000;1;1;170.38;7.01;88.52;24.83;5.03;1.76;0.162;0.882;0.281;2
HES;Hess Corporation;Basic Materials;63.38;2770;1;1;18.61;-3.008;6.51;;68.5;9.03;-0.086;-0.146;-0.103;2.2
HIG;Hartford Financial Svc.Gp.;Financial;45.09;17400;1;1;18.22;1.67;18.49;11.39;43.37;1.1;0.007;0.092;0.088;2.3
HOG;Harley-Davidson;Consumer Goods;48.57;5700;1;1;8.81;0.7328;6.07;13.11;10.32;4.07;0.07;0.315;0.087;2.5
HOLX;Hologic;Healthcare;37.44;5290;1;1;10.74;0.1873;2.75;59.14;7.66;2.29;0.027;0.1;0.061;2
HON;Honeywell Intl Inc.;Industrial Goods;114.17;129000;1;1;86.79;4.77;38.58;18.75;23.73;;;;0.16;1.9
HOT;Starwood Hotels & Resorts;Services;79.01;188000;1;1;13.7;0.489;5.76;27.7;7.67;6.09;0.06;0.374;0.153;2.9
HP;Helmerich & Payne;Basic Materials;64.08;6727;1;1;6.76;0.2334;2.59;29.32;44.79;8.34;0.06;0.088;0.08;2.8
HPE;Hewlett Packard Enterprise;Diversified Computer Systems;17.49;240000;1;1;29.49;2.18;51.78;13.77;17.75;6.68;0.03;0.061;0.051;2.5
HPQ;HP Inc.;Technology;12.61;287000;1;1;22.32;4.03;75.31;5.68;-2.76;2.08;0.044;0.197;0.144;2.4
HRB;Block H&R;Services;23.83;2200;1;1;5.38;0.4257;3.04;17.22;-2.31;0.85;0.124;0.56;0.23;2.3
HRL;Hormel Foods Corp.;Consumer Goods;37.66;21000;1;1;20.19;0.7494;9.16;27.41;7.87;0.7;0.125;0.188;0.157;3.1
HRS;Harris Corporation;Technology;79.83;22300;1;1;9.71;0.0828;6.38;99.21;26.26;4.15;0.006;0.022;0.054;2
HSIC;Henry Schein;Services;170.83;19000;1;1;14.07;0.4791;10.63;30.23;35.07;0.88;0.077;0.168;0.141;2.2
HST;Host Hotels & Resorts;Financial;15.34;240;1;1;11.6;0.558;5.39;20.69;9.38;0.31;0.047;0.078;0.058;2.6
HSY;The Hershey Company;Consumer Goods;90.55;19060;1;1;13.98;0.513;7.39;39.27;4.59;2.26;0.092;0.477;0.17;2.9
HUM;Humana Inc.;Healthcare;175.3;50100;1;1;26.23;1.28;54.29;20.89;69.45;17.26;0.051;0.125;0.099;2.5
IBM;International Bus. Machines;Technology;148.5;377757;1;1;143.76;12.97;80.84;11.21;15.52;15.39;0.114;0.917;0.247;2.9
ICE;Intercontinental Exchange;Financial;241.15;5549;1;1;28.5;1.27;3.34;21.09;133.41;5.53;0.019;0.098;0.063;2.1
IFF;Intl Flavors & Fragrances;Basic Materials;120.82;6700;1;1;9.52;0.4172;3.02;23.3;19.88;2.3;0.113;0.262;0.176;2.4
ILMN;Illumina Inc;Healthcare;143.59;4600;1;1;21.24;0.4616;2.22;46.21;12.66;9.34;0.126;0.256;0.166;2.4
INTC;Intel Corp.;Technology;31.64;107300;1;1;149.62;11.47;56.28;13.36;12.96;3.17;0.116;0.194;0.136;2.3
INTU;Intuit Inc.;Technology;102.33;7700;1;1;26.28;0.561;4.35;50.87;2.44;1.3;0.11;0.32;;2.5
IP;International Paper;Consumer Goods;43.36;56000;1;1;17.3;0.938;22.37;19.21;9.62;2.6;0.032;0.209;0.115;2.3
IPG;Interpublic Group;Services;23.43;49200;1;1;9.46;0.4546;7.61;21.35;4.85;1.68;0.039;0.238;0.145;1.9
IR;Ingersoll-Rand PLC;Industrial Goods;64.44;45000;1;1;16.84;0.6889;13.3;24.85;22.12;2.8;0.038;0.115;0.091;2.1
IRM;Iron Mountain Incorporated;Technology;35.57;20000;1;1;7.43;0.1232;3.01;61.1;2.41;0.61;0.019;0.192;0.086;2.3
ISRG;Intuitive Surgical Inc.;Healthcare;638.15;3211;1;1;24.45;0.6282;2.45;38.76;126.01;47.24;0.131;0.148;0.132;1.9
ITW;Illinois Tool Works;Industrial Goods;104.66;48000;1;1;37.67;1.9;13.41;20.35;14.36;8.57;0.118;0.369;0.162;2.1
IVZ;Invesco Ltd.;Financial;32.36;6490;1;1;13.2;0.9681;5.12;14.12;18.65;4.46;0.041;0.12;;1.9
JBHT;J. B. Hunt Transport Services;Services;86.01;21562;1;1;9.57;0.4354;6.28;22.59;11.28;0.05;0.122;0.337;0.196;2.2
JCI;Johnson Controls;Consumer Goods;41.93;139000;1;1;27;1.41;36.48;19.51;16.22;0.64;0.049;0.143;0.101;2.2
JEC;Jacobs Engineering Group;Services;43.77;64000;1;1;5.3;0.2494;11.78;21.81;35.62;3.65;0.032;0.058;0.07;2.6
JNJ;Johnson & Johnson;Healthcare;113.32;127100;1;1;313.79;15.38;70.18;20.69;25.82;;;;0.169;2.4
JNPR;Juniper Networks;Technology;23.75;9058;1;1;8.95;0.6337;4.86;14.7;11.95;5.12;0.074;0.142;0.106;2.5
JPM;JPMorgan Chase & Co.;Financial;63.97;234598;1;1;233.41;21.95;51.96;10.78;61.06;291.76;0.009;0.1;0.066;1.9
JWN;Nordstrom;Services;51.59;72500;1;1;9.29;0.6;14.44;16.43;4.9;3.33;0.068;0.328;0.197;2.7
K;Kellogg Co.;Consumer Goods;75.28;33577;1;1;26.6;0.614;13.53;44.07;6.23;0.72;0.04;0.246;0.094;2.8
KEY;KeyCorp;Financial;12.58;13483;1;1;10.28;0.892;2.62;11.75;12.63;3.22;0.009;0.086;0.091;2.1
KHC;Kraft Heinz Co;Consumer Goods;78.1;42000;1;1;98.02;-0.266;18.34;;46.33;3.89;-0.002;-0.004;0.027;2.7
KIM;Kimco Realty;Financial;28.22;546;1;1;11.65;0.7013;1.17;16.72;12.26;0.46;0.098;0.225;0.027;2.4
KLAC;KLA-Tencor Corp.;Technology;71.9;5880;1;1;11.16;0.5308;2.85;21.73;2.36;14.38;0.112;1.348;0.128;2.9
KMB;Kimberly-Clark;Consumer Goods;126.88;43000;1;1;47.27;1.01;18.59;45.73;0.3;1.7;0.073;8.634;0.156;2.5
KMI;Kinder Morgan;Basic Materials;18.12;11290;1;1;39.12;0.077;14;460.26;15.78;0.08;0.001;0.002;0.024;2.4
KMX;Carmax Inc;Services;53.22;22064;1;1;10.37;0.6234;15.15;17.48;14.84;0.19;0.044;0.203;0.046;2.3
KO;The Coca Cola Company;Consumer Goods;44.54;123200;1;1;195.92;7.28;43.87;27.02;5.69;5.07;0.079;0.277;0.093;2.4
KORS;Michael Kors Holdings;Consumer Goods;51.6;11094;1;1;9.31;0.8447;4.59;11.86;10.84;3.88;0.331;0.413;;2.6
KR;Kroger Co.;Services;35.58;431000;1;1;36.28;2.02;109.83;17.84;7.06;0.28;0.064;0.329;0.134;1.8
KSS;Kohls Corp.;Services;45.46;32000;1;1;8.32;0.673;19.2;12.92;29.84;3.82;0.047;0.119;0.098;2.6
KSU;Kansas City Southern;Services;98.22;6670;1;1;10.33;0.4903;2.38;21.6;36.42;0.37;0.059;0.126;0.097;2.4
L;Loews Corp.;Financial;39.86;16700;1;1;13.21;0.26;13.57;58.7;50.68;1.32;0.003;0.014;0.029;2.5
LB;L Brands Inc.;Services;76.76;22900;1;1;22.49;1.25;12.15;18.49;-0.9;;0.167;-2.306;0.277;2.5
LEG;Leggett & Platt;Consumer Goods;47.66;20000;1;1;6.41;0.3239;3.92;21.08;7.77;1.89;0.106;0.297;0.177;2.6
LEN;Lennar Corp.;Industrial Goods;47.33;7749;1;1;10.01;0.8231;9.82;13.18;27.68;3.37;0.066;0.171;0.067;
LH;Laboratory Corp. of America Holding;Healthcare;121.77;50000;1;1;12.69;0.4368;8.68;29.46;48.71;7.06;0.031;0.091;0.062;2.1
LLL;L-3 Communications Holdings;Industrial Goods;124.03;38000;1;1;9.7;0.282;10.47;38.2;55.62;2.64;-0.018;-0.05;0.056;2.5
LLTC;Linear Technology Corp.;Technology;46.38;4868;1;1;10.98;0.4947;1.43;22.77;6.88;;0.256;0.305;;3
LM;Legg Mason;Financial;35.15;2982;1;1;3.71;0.0952;2.74;38.1;40.26;10.42;0.027;0.042;0.067;2
LMT;Lockheed Martin Corp.;Industrial Goods;226.83;126000;1;1;69.13;3.61;46.13;19.75;10.14;3.57;0.086;1.162;0.219;2.2
LNC;Lincoln National;Financial;44.34;9312;1;1;10.77;1.15;13.69;9.67;55.35;12.79;0.005;0.078;0.076;2.2
LOW;Lowes Cos.;Services;76.05;180000;1;1;69.26;2.53;59.07;27.98;8.42;0.53;0.077;0.296;0.153;1.9
LRCX;Lam Research;Technology;80.65;7300;1;1;12.77;0.7864;5.82;17.82;35.79;28.5;0.081;0.145;0.091;1.8
LUK;Leucadia National Corp.;Financial;17.01;13300;1;1;6.1;0.2694;10.89;23.36;28.1;31.46;0.013;0.062;0.013;1
LUV;Southwest Airlines;Services;47.25;49600;1;1;30.22;2.19;19.82;14.31;11.34;4.73;0.103;0.308;0.263;1.9
LVLT;Level 3 Communications;Technology;53.73;12500;1;1;19.09;3.43;8.23;5.74;28.42;2.4;0.157;0.451;0.194;1.9
LYB;LyondellBasell;Basic Materials;90.2;13000;1;1;38.19;4.47;32.74;9.27;14.88;6.12;0.183;0.616;0.3;2.4
LLY;Lilly (Eli) & Co.;Healthcare;77.83;41275;1;1;85.58;2.41;19.96;34.47;13.71;4.05;0.067;0.162;0.095;2
M;Macys Inc.;Services;40.96;157900;1;1;12.75;1.07;27.08;12.3;13.63;3.51;0.051;0.235;0.12;2.6
MA;Mastercard Inc.;Financial;97.45;11300;1;1;107.82;3.81;9.67;29.02;5.34;6.87;0.25;0.609;;2.1
MAC;Macerich;Financial;76.81;997;1;1;11.45;0.4861;1.29;24.83;30.17;0.58;0.038;0.092;;3.1
MAR;Marriott Intl.;Services;66.54;127500;1;1;17.49;0.859;14.49;21.26;-13.96;0.37;0.135;-0.27;1.845;2.6
MAS;Masco Corp.;Industrial Goods;32.47;25000;1;1;10.68;0.352;7.14;31.12;-0.41;5.18;0.057;3.271;0.189;2
MAT;Mattel Inc.;Consumer Goods;32.02;31000;1;1;10.92;0.3514;5.65;31.02;7.27;1.76;0.046;0.114;0.094;2.2
MCD;McDonalds Corp.;Services;125.5;420000;1;1;112.13;4.53;25.41;26.52;7.82;;;;;2.4
MCHP;Microchip Technology;Technology;49.71;9449;1;1;10.04;0.3562;2.16;30.37;10.46;4.98;0.068;0.17;0.115;2.3
MCK;McKesson Corp.;Services;178.25;70400;1;1;40.45;2.24;187.43;18.53;38.59;14.92;0.036;0.227;0.121;2.1
MCO;Moodys Corp;Services;98.78;10400;1;1;19.44;0.9413;3.48;21.37;-2.87;11.36;0.189;-2.164;;2.5
MDLZ;Mondelez International;Consumer Goods;42.19;99000;1;1;65.35;7.27;29.64;9.5;17.61;1.21;0.117;0.284;0.191;2.3
MDT;Medtronic plc;Healthcare;78.99;92000;1;1;111.67;2.43;28.57;46.59;36.13;12.29;0.023;0.047;0.035;2
MET;MetLife Inc.;Financial;46.9;69000;1;1;49.87;5.15;70.04;10.13;61.18;11.82;0.006;0.073;0.052;2.1
MHFI;McGraw Hill Financial;Services;103.37;20400;1;1;27.42;1.16;5.31;24.53;0.72;5.59;0.166;2.145;0.36;2.1
MHK;Mohawk Industries;Consumer Goods;196.22;34100;1;1;14.68;0.6153;8.07;23.82;65.68;1.1;0.064;0.134;0.088;1.8
MJN;Mead Johnson;Consumer Goods;83.9;7660;1;1;15.92;0.6518;4.07;25.72;-3.34;8.98;0.22;3.003;0.306;2.6
MKC;McCormick & Co.;Consumer Goods;91.76;10000;1;1;11.82;0.4245;4.32;28.33;13.33;0.88;0.096;0.248;0.136;3
MLM;Martin Marietta Materials;Industrial Goods;170.6;7300;1;1;11.1;0.2875;3.54;39.35;61.97;2.57;0.04;0.069;0.063;1.9
MMC;Marsh & McLennan;Financial;62.19;60000;1;1;32.4;1.6;12.89;20.84;12.48;2.63;0.091;0.243;0.16;2.4
MMM;3M Company;Industrial Goods;168.66;89446;1;1;102.02;4.83;30.27;22.2;19.06;3.16;0.151;0.38;0.22;2.6
MNK;Mallinckrodt Plc;Healthcare;66.27;5700;1;1;7.4;0.3352;3.49;22.45;45;4.52;0.035;0.102;0.047;1.7
MNST;Monster Beverage;Consumer Goods;122.99;1500;1;1;25.67;0.5467;2.72;44.61;23.7;14.21;0.114;0.139;;1.9
MO;Altria Group Inc;Consumer Goods;60.52;8800;1;1;119.87;5.23;25.43;22.93;1.47;1.21;0.191;2.255;0.335;2.4
MON;Monsanto Co.;Basic Materials;94.08;22500;1;1;41.11;1.44;13.69;29.97;9.47;2.48;0.068;0.253;0.166;2.5
MOS;The Mosaic Company;Basic Materials;28.55;8900;1;1;9.95;1;8.9;10.24;27.04;;0.057;0.101;0.088;2.9
MPC;Marathon Petroleum;Basic Materials;41.46;45440;1;1;21.91;2.85;72.25;7.8;24.88;2.12;0.111;0.308;0.126;1.8
MRK;Merck & Co.;Healthcare;56.74;68000;1;1;156.8;4.44;39.5;35.9;16.02;4.81;0.043;0.096;0.064;2.5
MRO;Marathon Oil Corp.;Basic Materials;14.34;2611;1;1;11.33;-2.204;5.74;;27.4;;-0.064;-0.112;-0.075;2.7
MS;Morgan Stanley;Financial;27.7;56218;1;1;52.55;4.43;35.74;12.09;35.24;;;;0.015;2.4
MSFT;Microsoft Corp.;Technology;51.78;118000;1;1;443.99;10.48;86.89;39.72;9.48;12.39;0.085;0.195;0.101;2.3
MSI;Motorola Solutions Inc.;Technology;75.56;14000;1;1;13.35;0.641;5.7;22.88;-0.6;13.47;0.07;0.701;0.167;2.8
MTB;M&T Bank Corp.;Financial;119.04;16331;1;1;18.8;1.07;3.41;16.03;95.01;70.78;0.012;0.097;0.081;2.9
MU;Micron Technology;Technology;10.66;31800;1;1;10.93;1.07;13.74;11.28;11.84;3.89;0.043;0.087;0.142;2.5
MUR;Murphy Oil;Basic Materials;33.66;1258;1;1;5.77;-2.2558;2.75;;30.81;2.65;-0.167;-0.331;-0.289;3.3
MYL;Mylan N.V.;Healthcare;48.29;35000;1;1;22.32;0.8476;9.43;27.06;19.92;2.49;0.038;0.089;0.082;2.1
NAVI;Navient;Financial;13.68;7300;1;1;4.82;0.996;4.3;5.15;11.1;4.45;0.007;0.251;0.008;2.3
NBL;Noble Energy Inc;Basic Materials;36.04;2395;1;1;15.15;-2.442;3.14;;24;2.38;-0.102;-0.215;-0.146;2.3
NDAQ;NASDAQ OMX Group;Financial;63.99;3824;1;1;10.49;0.428;3.4;25.61;34.09;3.07;0.036;0.076;;2.4
NEE;NextEra Energy;Utilities;114.44;13800;1;1;52.11;2.75;17.49;18.86;49.06;1.25;0.035;0.127;0.065;1.7
NEM;Newmont Mining Corp. (Hldg. Co.);Basic Materials;31.23;15600;1;1;17.01;0.096;7.79;166.36;21.41;4.55;0.004;0.008;0.023;2.7
NFLX;Netflix Inc.;Services;95.9;3500;1;1;39.69;0.1266;7.16;323.74;5.41;4.89;0.012;0.058;;2.5
NFX;Newfield Exploration Co;Basic Materials;36.86;1111;1;1;7.04;-3.362;1.56;;8.46;0.03;-0.49;-1.233;-0.904;1.9
NI;NiSource Inc.;Diversified Utilities;22.25;7596;1;1;7.12;0.183;4.65;38.63;12.06;0.05;0.026;0.107;0.052;2.6
NKE;Nike;Consumer Goods;59.43;62600;1;1;100.84;3.78;31.91;27.44;7.26;3;0.176;0.295;0.232;1.9
NLSN;Nielsen Holdings;Technology;51.92;43000;1;1;18.62;0.607;6.2;31.31;12.49;1.2;0.039;0.135;0.06;1.9
NOC;Northrop Grumman Corp.;Industrial Goods;200.75;65000;1;1;36.23;1.99;23.53;19.32;30.31;12.85;0.081;0.33;;2.2
NOV;National Oilwell Varco Inc.;Basic Materials;29.27;44326;1;1;10.78;-0.769;14.76;;44.04;5.66;-0.026;-0.042;-0.028;2.9
NRG;NRG Energy;Utilities;14.2;10468;1;1;4.45;-6.402;14.67;;8.62;4.83;-0.167;-0.83;-0.242;2.1
NSC;Norfolk Southern Corp.;Services;91.33;30456;1;1;27.16;1.55;10.51;17.93;41.13;;0.048;0.134;0.089;2.6
NTAP;NetApp;Technology;24.24;12810;1;1;7.18;0.3719;5.71;19.79;10.61;17.14;0.042;0.119;;3.3
NTRS;Northern Trust Corp.;Financial;72.36;16200;1;1;16.39;0.9457;4.92;17.65;36.94;12.78;0.008;0.113;0.009;3.1
NUE;Nucor Corp.;Basic Materials;49.55;23700;1;1;15.6;0.3561;16.44;44.25;23.26;7.33;0.024;0.048;0.056;2.5
NVDA;Nvidia Corporation;Technology;36.27;9227;1;1;19.93;0.614;5.01;34;8.28;9.21;0.085;0.139;0.103;2.4
NWL;Newell Rubbermaid Co.;Consumer Goods;44.36;17200;1;1;11.84;0.2594;5.92;46.26;6.79;1.02;0.051;0.198;0.072;1.8
NWSA;News Corp. Class A;Services;12.8;25000;1;1;7.38;-0.14;8.38;;20.29;3.22;-0.008;-0.01;-0.007;2.4
O;Realty Income Corporation;Financial;59.37;132;1;1;15.03;0.2567;1.02;55.59;24.67;0.16;0.022;0.045;0.024;2.7
OI;Owens-Illinois Inc;Consumer Goods;18.33;27000;1;1;2.83;-0.07;6.16;;2.9;2.51;-0.009;-0.095;-0.008;2.5
OKE;ONEOK;Utilities;35.81;2364;1;1;7.44;0.2511;7.76;29.66;1.6;0.46;0.016;0.545;0.073;2.6
OMC;Omnicom Group;Services;83.77;74900;1;1;20.01;1.09;15.13;18.71;10.23;;;;0.19;2.9
ORCL;Oracle Corp.;Technology;40.7;132000;1;1;170.44;8.84;37.16;20.13;10.97;12.15;0.082;0.189;0.122;2.4
ORLY;OReilly Automotive;Services;269.65;37879;1;1;26.24;0.9312;7.97;29.45;19.92;1.2;0.138;0.461;0.294;1.9
OXY;Occidental Petroleum;Basic Materials;75.85;11100;1;1;57.32;-8.146;12.6;;31.91;4.19;-0.156;-0.257;-0.254;2.3
PAYX;Paychex Inc.;Services;52.27;13400;1;1;18.94;0.7399;2.89;25.76;5.2;0.91;0.116;0.405;0.374;3.4
PBCT;Peoples United Financial;Financial;16.09;4652;1;1;4.92;0.259;1.07;18.61;15.87;2.81;;;;3.5
PBI;Pitney-Bowes;Consumer Goods;21.49;14800;1;1;4.17;0.4026;3.58;10.6;0.91;3.9;0.066;2.888;0.164;1.7
PCAR;PACCAR Inc.;Consumer Goods;56.49;23000;1;1;19.5;1.6;19.12;12.43;19.66;9.96;0.076;0.227;;2.8
PCG;PG&E Corp.;Utilities;56.99;23000;1;1;28.1;0.874;16.83;31.81;33.62;0.25;0.014;0.054;0.045;2.2
PCLN;Priceline.com Inc;Services;1338.5;15500;1;1;66.32;2.55;9.22;26.88;176.87;53.32;0.15;0.296;0.179;2.3
PDCO;Patterson Companies;Services;44.93;7000;1;1;4.44;0.1846;5.08;23.97;14.29;0.99;0.052;0.129;0.113;2.6
PEG;Public Serv. Enterprise Inc.;Utilities;45.21;13025;1;1;22.75;1.68;10.42;13.69;25.87;0.78;0.046;0.131;0.083;2.8
PEP;PepsiCo Inc.;Consumer Goods;101.98;263000;1;1;148.65;5.16;62.7;29.35;7.78;8.4;0.073;0.386;0.141;2.2
PFE;Pfizer Inc.;Healthcare;33.27;97900;1;1;205.45;6.95;48.85;29.87;10.48;3.76;0.057;0.141;0.08;2.2
PFG;Principal Financial Group;Financial;44.1;14895;1;1;12.88;1.21;11.99;10.7;31.41;8.65;0.006;0.124;0.098;2.9
PG;Procter & Gamble;Consumer Goods;80.95;110000;1;1;221.35;8.43;69.37;26.9;22.28;5.25;0.063;0.134;0.097;2.5
PGR;Progressive Corp.;Financial;32.95;28580;1;1;19.02;1.27;20.83;15.28;12.49;0.39;0.044;0.173;0.144;3
PH;Parker-Hannifin;Industrial Goods;114.01;54750;1;1;15.17;0.8428;11.88;18.78;35.45;13.97;0.07;0.169;0.126;3
PHM;Pulte Homes Inc.;Industrial Goods;19.05;4542;1;1;6.54;0.4909;5.98;13.56;13.65;2.17;;;0.069;2.8
PKI;PerkinElmer;Healthcare;51.59;8000;1;1;5.65;0.2127;2.26;27.37;18.89;2.17;0.052;0.102;0.082;2.5
PLD;Prologis;Financial;44.9;1555;1;1;23.98;0.8743;2.2;27.92;27.85;0.5;0.041;0.084;0.01;2.9
PM;Philip Morris International;Consumer Goods;96.92;80200;1;1;151.17;6.59;26.26;22.93;-8.23;1.9;0.198;-0.5;0.521;2.4
PNC;PNC Financial Services;Financial;88.09;49148;1;1;43.94;3.81;9.41;11.87;90.08;72.55;0.011;0.085;0.086;2.6
PNR;Pentair Ltd.;Industrial Goods;57.28;27600;1;1;10.15;-0.065;6.45;;22.16;0.7;-0.007;-0.017;0.004;3
PNW;Pinnacle West Capital;Utilities;71.46;93;1;1;8.02;0.4373;3.5;18.29;40.91;0.35;0.03;0.097;0.073;3.1
PPG;PPG Industries;Basic Materials;113.19;46600;1;1;30.13;1.41;15.33;21.93;19.29;3.85;0.082;0.28;0.158;1.8
PPL;PPL Corp.;Utilities;36.51;12799;1;1;24.54;1.6;7.67;15.33;14.74;;0.032;0.12;0.079;2.2
PRGO;Perrigo;Healthcare;121.35;13242;1;1;15.09;-0.0328;5.35;;68.93;2.85;0.004;0.008;0.008;2.1
PRU;Prudential Financial;Financial;79.58;49384;1;1;34.6;5.7;57.26;6.34;97.74;40.14;0.007;0.133;0.08;2.1
PSA;Public Storage;Financial;256.94;5300;1;1;44.43;1.05;2.39;42.59;29.59;0.61;0.108;0.206;;2.8
PSX;Phillips 66;Basic Materials;87.98;14000;1;1;47.16;4.22;98.98;11.36;43.07;5.73;0.106;0.23;0.083;2.4
PVH;PVH Corp.;Consumer Goods;96.08;18200;1;1;7.76;0.5724;8.02;13.82;55.65;6.83;0.053;0.128;0.088;2.3
PWR;Quanta Services Inc.;Industrial Goods;23.41;24500;1;1;3.61;0.1261;7.6;37.56;19.06;0.82;0.054;0.084;0.039;2
PX;Praxair Inc.;Basic Materials;119.62;26657;1;1;34;1.55;10.78;22.25;15.38;0.52;0.083;0.332;0.125;2.6
PXD;Pioneer Natural Resources;Basic Materials;153.15;3732;1;1;24.71;-0.266;3.14;;56.16;8.64;-0.024;-0.041;-0.147;1.8
PYPL;PayPal;Financial;40.31;16800;1;1;48.01;1.23;9.25;39.74;11.23;2.83;0.046;0.102;0.087;2.2
QCOM;QUALCOMM Inc.;Technology;52.64;33000;1;1;77.96;4.91;22.61;16.56;19.94;11.03;0.097;0.158;0.103;2.3
QRVO;Qorvo;Technology;45.7;6700;1;1;6.28;0.0018;2.64;7508.33;39.43;7.36;0;0;0.032;2.2
R;Ryder System;Services;67.18;33100;1;1;3.45;0.3051;6.57;11.4;37.53;1.15;0.034;0.186;0.044;1.8
RAI;Reynolds American Inc.;Consumer Goods;47.83;5600;1;1;68.78;3.25;10.68;17.86;12.78;1.91;0.073;0.218;0.107;2.2
RCL;Royal Caribbean Cruises Ltd;Services;73.8;65900;1;1;16.85;0.6658;8.3;24.85;36.88;0.54;0.032;0.082;;1.8
REGN;Regeneron;Healthcare;404.38;4300;1;1;43.19;0.6361;4.1;73.86;35.22;9.85;0.13;0.192;0.16;2.3
RF;Regions Financial Corp.;Financial;9.34;23916;1;1;11.66;1.01;3.6;12.27;12.36;;;;0.137;2.3
RHI;Robert Half International;Services;43.98;16100;1;1;5.66;0.3578;5.09;16.23;7.71;1.73;0.211;0.357;0.355;2.2
RHT;Red Hat Inc.;Technology;74.85;7300;1;1;13.83;0.1994;2.05;69.27;7.33;6.51;0.051;0.148;0.103;1.9
RIG;Transocean;Basic Materials;10.79;9100;1;1;3.66;0.789;7.39;4.73;39.94;6.57;0.03;0.058;0.051;3.7
RL;Polo Ralph Lauren Corp.;Consumer Goods;93.98;15000;1;1;7.94;0.479;7.42;17.03;44.81;14.45;0.077;0.125;0.16;2.6
ROK;Rockwell Automation Inc.;Industrial Goods;115.11;22500;1;1;15.07;0.7982;6.16;19.32;16.97;16.91;0.159;0.421;0.22;3.2
ROP;Roper Industries;Industrial Goods;178.63;10806;1;1;18.17;0.6961;3.58;26.23;52.55;7.7;0.074;0.137;0.084;2.3
ROST;Ross Stores;Services;56.67;77800;1;1;23.14;1.02;11.94;22.7;6.21;1.88;0.209;0.426;0.36;2.2
RRC;Range Resources Corp.;Basic Materials;39.75;744;1;1;6.5;-0.7145;1.18;;16.57;0;-0.087;-0.225;-0.103;2.3
RSG;Republic Services Inc;Industrial Goods;45.74;33000;1;1;15.88;0.7499;9.12;21.43;22.4;0.09;0.036;0.096;0.073;2.2
RTN;Raytheon Co.;Industrial Goods;126.4;61000;1;1;37.49;2.06;23.25;18.58;33.69;10.71;0.072;0.207;0.147;1.7
SBUX;Starbucks Corp.;Services;57.68;238000;1;1;89.77;2.54;20.16;34.16;4.03;;;;0.341;1.7
