T2s_Id,Conpany_Name,Company_Description,Profile_URL,Address,Location
3715,Metales Industriales de Guatemala S.A.,"Metales Industriales de Guatemala S.A.&nbsp;manufactures parts and components with technical processes like&nbsp;Sawing, Pushing, Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting.",http://www.tech2select.co.uk/comp-3715/,"5A Calle 2-64, 13, Guatemala, Guatemala","<Point><coordinates>-90.5206719,14.5923785</coordinates></Point>"
1488,SLR - Eisenwerk Martinlamitz GmbH,"SLR - Eisenwerk Martinlamitz GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Machine casting, Painting.",http://www.tech2select.co.uk/slr---eisenwerk-martinlamitz-gmbh/,"Eisenwerk 2, 95126, Schwarzenbach/Saale, Germany","<Point><coordinates>11.9647765,50.2101083</coordinates></Point>"
1666,Bruma Schraub- u. Drehtechnik GmbH,"Bruma Schraub- u. Drehtechnik GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Automatic turning, Galvanizing.",http://www.tech2select.co.uk/bruma-schraub--u-drehtechnik-gmbh/?setWindowname=1&ShowSupplierInfo=1,"Milchstra&szlig;e 12, 42553, Velbert, Germany","<Point><coordinates>7.0636568,51.3114997</coordinates></Point>"
9500,ERWEL s.r.o.,"ERWEL s.r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Spooling, Spring coiling, Electroplating.",http://www.tech2select.at/comp-9500/,"Horný rad 533, 906 13, Brezová pod Bradlom, Slovakia","<Point><coordinates>17.5420213,48.6664128</coordinates></Point>"
2706,Bornemann Gewindetechnik-Edelstahlbearbeitung,"Bornemann Gewindetechnik-Edelstahlbearbeitung&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Drilling, Grinding, Surface Grinding, Sawing, Thread cutting.",http://www.tech2select.at/bornemann-gewindetechnik-edelstahlbearbeitung/,"Klus 3, 31073, Delligsen, Germany","<Point><coordinates>9.78512,51.93774</coordinates></Point>"
3590,Mosdorfer Verzinkerei GesmbH,"Mosdorfer Verzinkerei GesmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Dump box casting, Drilling, Thermal treatments , Pressing.",http://www.tech2select.at/mosdorfer-verzinkerei-gesmbh/,"Mosdorfergasse 1, 8160, Weiz, Austria","<Point><coordinates>15.6185769,47.2245698</coordinates></Point>"
8135,"Autoplast, spol. s r.o.","Autoplast, spol. s r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Wet varnishing, Surface treatment, Spray painting.",http://www.tech2select.co.uk/comp-8135/,"Nemanická 1798, 370 10, ceské Budejovice, Czech Republic","<Point><coordinates>14.4796699,49.001735</coordinates></Point>"
1737,Mesa Parts GmbH ,"Mesa Parts GmbH &nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Grinding, Superfinishing, Thermal burring, Laser machining, Assembly.",http://www.tech2select.co.uk/mesa-parts-gmbh-/,"Im Gewerbegebiet 1, 79853, Lenzkirch, Germany","<Point><coordinates>8.1926269,47.8756279</coordinates></Point>"
7378,R&M Willich Industrial Services Ltd.,"R&M Willich Industrial Services Ltd.&nbsp;manufactures parts and components with technical processes like&nbsp;Cutting, Drilling, Bending, Rolling, Welding, Metal cutting processes, Machining with maching center.",http://www.tech2select.co.uk/r-and-m-willich-industrial-services-ltd/,"Clondalkin Industrial Estate 15 Crag Terrace, 22, Dublin, Ireland","<Point><coordinates>-6.3890045,53.3300171</coordinates></Point>"
7419,LTL Maschinenbau GmbH,"LTL Maschinenbau GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Machining with maching center, Turning, Metal cutting processes.",http://www.tech2select.co.uk/ltl-maschinenbau-gmbh/,"Steinsto&szlig; 1, 32657, Lemgo, Germany","<Point><coordinates>8.90002,52.0228</coordinates></Point>"
