OBJECTID,Name,Longitude,Latitude,LocationDescription,RegionID,RegionName
13153,Landsbro. Linne�n,14.899999618530273,57.369998931884766,Sweden,,
13154,Eckersholmsdammen,14.180000305175781,57.599998474121094,Sweden,,
13155,Byestad-B�ckseda.15,15.100000381469727,57.430000305175781,Sweden,,
13156,Korsberga-Sn�rle.18,15.130000114440918,57.349998474121094,Sweden,,
13157,Solgen,15.100000381469727,57.580001831054687,Sweden,,
13158,Valln�s,15.479999542236328,57.619998931884766,Sweden,,
13159,Farstorp,15.319999694824219,57.330001831054688,Sweden,,
13160,Solgen�n: Hammar-V�rne,15.119999885559082,57.529998779296875,Sweden,,
13161,Trollebosj�n,15.279999732971191,57.319999694824219,Sweden,,
13162,Lind�ssj�n,15.199999809265137,57.380001068115234,Sweden,,
13163,Rocksj�n.32,14.180000305175781,57.770000457763672,Sweden,,
13164,Flisbysj�n,14.829999923706055,57.75,Sweden,,
13165,Lill�n.Bankeryd,14.119999885559082,57.849998474121094,Sweden,,
13166,Aeroporto Gino Lisa,15.533329963684082,41.433330535888672,Italy,,
13167,Lago Pescara,15.166669845581055,41.366668701171875,Italy,,
13168,Lago Di Capacciotti,15.800000190734863,41.166671752929688,Italy,,
13169,Invaso Del Celone,15.416666984558105,41.433334350585938,Italy,,
13170,Sieve E Bilancino,11.399999618530273,43.933330535888672,Italy,,
13171,Piana Fiorentina,11.149999618530273,43.816669464111328,Italy,,
13172,Medio Corso Dell'Arno,11.266670227050781,43.75,Italy,,
13173,Figline,11.449999809265137,43.616668701171875,Italy,,
13174,Valdarno Inferiore,10.833330154418945,43.700000762939453,Italy,,
13175,Vallei Martjesvaart Merkem,2.8499999046325684,50.950000762939453,Belgium,,
13176,Kanaal Van Ieper Knokkebrug - Drie Grachten,,,Belgium,,
13177,Novus Portus Nieuwpoort,,,Belgium,,
13178,Laghetti Colline Livornesi Sud,10.416669845581055,43.5,Italy,,
13179,San Vincenzo,10.516670227050781,43.083328247070313,Italy,,
13180,Laghi Apuane E Garfagnana,10.300000190734863,44.150001525878906,Italy,,
13181,F. Serchio. Filicaia - Castelnuovo,10.383330345153809,44.116668701171875,Italy,,
13182,Il Giardo,10.233329772949219,43.900001525878906,Italy,,
13183,Ystad Hamn.2,13.819999694824219,55.419998168945313,Sweden,,
13184,Skarviken-Mossbystrand.6,13.649999618530273,55.400001525878906,Sweden,,
13185,Abbek�s-H�rte.8,13.579999923706055,55.380001068115234,Sweden,,
13186,Beddinge.74,13.430000305175781,55.349998474121094,Sweden,,
13187,S. Smyge-Beddinge (Hav),,,Sweden,,
13188,Trelleborg-Smyge (Hav).,,,Sweden,,
13189,Yttre K�mpingebukten.,12.979999542236328,55.349998474121094,Sweden,,
13190,Falsterbohalv�n;Kanalen-Nabben.18,12.850000381469727,55.380001068115234,Sweden,,
13191,S. Falsterbo (Hav).,12.869999885559082,55.349998474121094,Sweden,,
13192,Nabben-Skan�r.18,12.819999694824219,55.400001525878906,Sweden,,
13193,Skan�r-Kn�sen.20,12.829999923706055,55.430000305175781,Sweden,,
13194,V. Falsterbo (Hav).,12.779999732971191,55.430000305175781,Sweden,,
13195,Lomma Dammar.41,13.050000190734863,55.680000305175781,Sweden,,
13196,L�ddesviken.37,12.979999542236328,55.720001220703125,Sweden,,
13197,Saltviken.38,12.930000305175781,55.729999542236328,Sweden,,
13198,E. Ven,,,Sweden,,
13199,Sv. Ven,,,Sweden,,
13200,Domsten-Viken.89,12.579999923706055,56.119998931884766,Sweden,,
13201,Viken-Lerberget.48,12.550000190734863,56.150001525878906,Sweden,,
13202,Lerhamn-M�lle.52,12.5,56.270000457763672,Sweden,,
13203,Kullen-Arild.53,12.5,56.279998779296875,Sweden,,
13204,Vombs Dammar.102,13.550000190734863,55.669998168945313,Sweden,,
13205,Upper Lough Erne: Main Lough (East Of Cloonliff),,,United Kingdom,,
13206,Upper Lough Erne: Main Lough (North-West Of Trasna Island),,,United Kingdom,,
13207,Spoorwegvijver St.-Michiels,,,Belgium,,
13208,Put Erkegem Oostkamp,,,Belgium,,
13209,Koude Keuken St.-Andries (Brugge),,,Belgium,,
13210,Afleidingskanalen Zelzatebruggen - Syphons,,,Belgium,,
13211,Damse Vaart Damme Tot Grens,,,Belgium,,
13212,Put Vlissegem,,,Belgium,,
13213,Weiden Vlissegem,,,Belgium,,
13214,Kijkuit Beernem,,,Belgium,,
13215,Bloemendaele Beernem,,,Belgium,,
13216,Gentse Vaart St.Joris Tot Beernem,,,Belgium,,
13217,Weiden Stalhille (Nieuwege),,,Belgium,,
13218,Weiden Vijfwege Stalhille,,,Belgium,,
13219,Svirlauka,23.719999313354492,56.619998931884766,Latvia,,
13220,Unknown,23.729999542236328,56.630001068115234,Latvia,,
13221,River Daugava : Riteri,25.469999313354492,56.630001068115234,Latvia,,
13222,Selga Dolomite Pit,25.620000839233398,56.630001068115234,Latvia,,
13223,River Daugava : Zelki,25.770000457763672,56.569999694824219,Latvia,,
13224,River Daugava : Jekabpils (Zvidzani),25.770000457763672,56.569999694824219,Latvia,,
13225,Krievciems Dolomite Pit,25.930000305175781,56.630001068115234,Latvia,,
13226,River Atase,26.430000305175781,56.549999237060547,Latvia,,
13227,Pertnieki Pit,27.069999694824219,56.549999237060547,Latvia,,
13228,Rezekne D No Pertniekiem,27.049999237060547,56.566665649414063,Latvia,,
13229,River Rezekne : Rezekne,27.379999160766602,56.549999237060547,Latvia,,
