helyseg;lakos
Tiszacsege;4754
Mezõfalva;4720
Szada;4675
Hévíz;4663
Körösladány;4661
Szatymaz;4628
Kenderes;4593
Tokaj;4524
Szabadbattyán;4518
Rakamaz;4512
Szegvár;4506
Kótaj;4496
Aba;4484
Rácalmás;4479
Lakitelek;4466
Ebes;4442
Helvécia;4440
Seregélyes;4432
Tab;4430
Devecser;4427
Dány;4424
Szõdliget;4423
Tompa;4423
Környe;4418
Inárcs;4407
Mikepércs;4405
Vasvár;4387
Törtel;4383
Tószeg;4382
Ceglédbercel;4364
Abádszalók;4328
Szirmabesenyõ;4317
Kóka;4316
Demecser;4284
Cibakháza;4253
Balatonfûzfõ;4248
Mándok;4247
Szendrõ;4228
Doboz;4207
Letenye;4202
Fadd;4199
Nyúl;4188
Csemõ;4166
Pilisszentiván;4165
Tokod;4137
Mende;4133
Simontornya;4128
Záhony;4125
Monorierdõ;4116
Hernád;4111
Bodajk;4110
Etyek;4110
Nagyvenyim;4096
Harkány;4087
Mályi;4080
Dombrád;4070
Földes;4069
Biharkeresztes;4054
Pécsvárad;4051
Baktalórántháza;4037
Tét;4023
Perkáta;3987
Bóly;3974
Dunavecse;3903
Kiszombor;3894
Pannonhalma;3890
Nagytarcsa;3883
Fertõszentmiklós;3876
Nyíracsád;3871
Mezõkeresztes;3868
Arló;3853
Decs;3843
Ásotthalom;3841
Verpelét;3839
Nyírábrány;3798
Ajak;3785
Bábolna;3774
Szajol;3771
Sükösd;3727
Medgyesegyháza;3721
Békésszentandrás;3716
Adony;3714
Bag;3710
Telki;3707
Kétegyháza;3694
Nyáregyháza;3693
Napkor;3679
Taktaharkány;3658
Hort;3657
Verõce;3643
Gádoros;3642
Vaja;3639
Ecser;3624
Kengyel;3613
Kállósemjén;3600
Szõd;3586
Érsekvadkert;3574
Gyenesdiás;3568
Délegyháza;3559
Kápolnásnyék;3536
Gávavencsellõ;3528
Hernádnémeti;3520
Farmos;3507
Kál;3506
Deszk;3485
Leányfalu;3483
Jászalsószentgyörgy;3482
Balástya;3481
Pilisborosjenõ;3481
Felsõtárkány;3479
Hosszúhetény;3464
Tápiógyörgye;3461
Bük;3454
Zagyvarékas;3441
Tuzsér;3418
Harta;3417
Hegyeshalom;3407
Nyírpazony;3403
Herend;3377
Orgovány;3377
Vaskút;3371
Ballószög;3368
Zsombó;3364
Táborfalva;3363
Öcsöd;3362
Baracs;3360
Besenyszög;3358
Hodász;3349
Akasztó;3346
Fertõd;3344
Balatonkenese;3334
Tápióbicske;3331
Felsõpakony;3324
Vép;3323
Ráckeresztúr;3310
Gyõrszemere;3297
Sárosd;3296
Nagybajom;3288
Borsodnádasd;3279
Csepreg;3275
Erdõtelek;3274
Bordány;3258
Bököny;3221
Tóalmás;3219
Dunapataj;3180
Ecséd;3180
Csobánka;3178
Csolnok;3166
Sásd;3165
Múcsony;3151
Lébény;3147
Hajdúszovát;3146
Nyírbogát;3143
Nagyréde;3131
Abaújszántó;3130
Lengyeltóti;3123
Hajós;3115
Csabrendek;3113
Dunabogdány;3113
Sajókaza;3112
Dánszentmiklós;3103
Sóskút;3100
Halászi;3097
Röszke;3091
Nagymágocs;3089
Bocskaikert;3081
Bélapátfalva;3075
Üllés;3062
Abda;3058
Zalalövõ;3058
Pákozd;3057
Földeák;3049
Bakonycsernye;3043
Cigánd;3037
Karácsond;3028
Nagyigmánd;3025
Boldog;3021
Lepsény;3016
Gönyû;3012
Vértesszõlõs;3007
Hévízgyörk;2997
Sárszentmihály;2997
Balatonszabadi;2994
Nyírbéltek;2990
Jászjákóhalma;2984
Zalakomár;2982
Apátfalva;2977
Sárrétudvari;2976
Ópályi;2968
Dusnok;2958
Poroszló;2958
Sajólád;2958
Levelek;2956
Gomba;2951
Csanádpalota;2941
Kisköre;2936
Tiszabura;2933
Tiszadob;2929
Tápiószõlõs;2928
Öttevény;2926
Tokodaltáró;2922
Pátroha;2905
Hõgyész;2904
Madaras;2903
Tarcal;2898
Kocsord;2893
Gyöngyössolymos;2888
Szalkszentmárton;2879
Sajóbábony;2872
Hajmáskér;2865
Pilisszántó;2865
Nyírbogdány;2861
Biharnagybajom;2840
Tass;2833
Érsekcsanád;2830
Nyírlugos;2824
Iváncsa;2823
Gesztely;2813
Szob;2806
Szakoly;2795
Cserszegtomaj;2792
Bölcske;2787
Rétság;2777
Kunágota;2769
Diósjenõ;2768
Szentgál;2762
Bugac;2759
Csanytelek;2757
Baj;2754
Bõcs;2753
Kakucs;2747
Gencsapáti;2743
Sárisáp;2740
Recsk;2733
Petõfibánya;2730
Sellye;2727
Jászkarajenõ;2724
Andornaktálya;2713
Nagyhegyes;2712
Megyaszó;2711
Újhartyán;2707
Zákányszék;2697
Adács;2694
Baracska;2694
Iregszemcse;2692
Porcsalma;2682
Újszilvás;2674
Besenyõtelek;2672
Pocsaj;2668
Báránd;2667
Kulcs;2665
Répcelak;2659
Bácsbokod;2656
Beled;2656
Tornyospálca;2655
Ostoros;2654
Karancslapujtõ;2651
Kóny;2647
Jakabszállás;2646
Lovasberény;2642
Köröstarcsa;2640
Tiszakeszi;2630
Nemesvámos;2627
Nyírmeggyes;2622
Okány;2607
Kesztölc;2606
Ják;2603
Berzence;2602
Kelebia;2600
Csanádapáca;2599
Rajka;2597
Nagydorog;2591
Cece;2589
Ófehértó;2587
Tápióság;2586
Gyöngyöspata;2584
Rudabánya;2584
Úri;2573
Tiszaeszlár;2572
Táplánszentkereszt;2570
Abasár;2567
Tarján;2560
Dunaszentgyörgy;2555
Jánosháza;2553
Villány;2545
Gyöngyöshalász;2542
Forró;2541
